id,count,value
180562885329138_1633842060001206,251,bebado que tentou entrar em apartamento errado deixa cervejas do perdao no canada em bilhete aos moradores ele afirmou que ficou envergonhado com suas atitudes
180562885329138_1633817443337001,1216,americano processa mulher que ficou ao celular durante encontro no cinema ele quer que ela devolva o equivalente a r  apos encontro romantico que terminou mal ela se nega a devolver
180562885329138_1633646190020793,1427,miley cyrus diz se arrepender de wrecking ball sempre serei a menina nua na bola eu devia ter pensado por quanto tempo isso ia me seguir disse a exestrela da disney que assumiu visual mais recatado
180562885329138_1633755810009831,175,dormir menos deixa pessoas menos atraentes indica pesquisa pessoas que perdem duas noites de sono ja parecem significativamente mais feias para outros individuos
180562885329138_1632542830131129,39,instagram introduz mascaras e funcao rebobinar no stories sao  opcoes de filtros que permitem ao usuario incorporar personagens nas publicacoes novidade aproxima ainda mais o recurso do concorrente snapchat
180562885329138_1632598010125611,1575,eike tem r  milhoes bloqueados e nao ha como pagar fianca diz advogado empresario que esta em prisao domiciliar teria ate quarta feira para pagar r  milhoes hoje segunda ele nao tem como fazer esse pagamento diz defesa
180562885329138_1631075046944574,6279,homem e filmado pousando de helicoptero para comprar lanche em mcdonalds na australia ele disse a radio local que tinha autorizacao para pousar autoridade de aviacao investiga se houve irregularidade
180562885329138_1631448996907179,2354,erro em letreiro de onibus transforma destino em piada em ms flagrante foi feito no terminal nova bahia em campo grande
180562885329138_1631327553585990,2617,apartamento do governador pezao e assaltado no leblon rio a a dp esta investigando o caso residencia teria sido invadida e roubada por homens encapuzados
180562885329138_1630514790333933,995,em homenagem ao dia das maes  prefeitura de jequie brinca com caso das mochilas gigantes tamanho de bolsas entregues a alunos de creches virou piada entre internautas que fizeram meme
180562885329138_1627920150593397,89,livro make poetry great again transforma frases de trump em poesia o que trump diz esta mais perto da poesia e da ficcao do que da realidade diz autor exemplar da obra foi enviada ao republicano
180562885329138_1627717693946976,5303,mulher forja proprio sequestro e grava audio com voz distorcida pedindo r  mil a familia professora disse que se sentia desprezada e queria atencao
180562885329138_1626342230751189,18548,garcom vendia oregano como maconha e fermento como cocaina diz policia do es uma pistola falsa e uma touca ninja foram apreendidas na residencia do homem ele tambem e suspeito de ameacar a namorada com uma arma
180562885329138_1627043074014438,3771,americano insulta familia muculmana em praia nos eua e depois e fotografado com cara de choro na prisao familia manteve a calma apesar das ofensas caso foi registrado em video
180562885329138_1626330374085708,2065,as bombas de coco que se tornaram ultimo recurso de manifestantes contra maduro na venezuela protestos de quarta feira marcaram estreia do uso de projeteis com excremento nos embates com forcas de seguranca governo compara uso dessas bombas ao de armas biologicas
180562885329138_1626305407421538,587,blogueiro russo e condenado por cacar pokemons em igreja ruslan sokolovski foi considerado culpado de instigar o odio entre os fieis
180562885329138_1625689897483089,989,nao daremos dinheiro a novos moradores malentendido faz povoado italiano receber avalanche de pedidos de residencia relato se espalha de que bormida daria  mil euros a quem se mudasse para la mas por enquanto cidade oferece apenas subsidio de aluguel  e so para italianos
180562885329138_1625468584171887,284,video do depoimento de lula a moro ao vivo vazou nao e verdade usuarios do facebook tem compartilhado link de video como se fosse o desta quarta  depoimento gravado e de marco quando lula falou em brasilia
180562885329138_1624993360886076,1204,pais defendem mochila gigante dada a alunos da creche em jequie cabe tudo o que ele vai necessitar mochilas viraram piada na internet e chegaram ser um dos cinco assuntos mais comentados em uma rede social
180562885329138_1624148127637266,1080,presidente da qantas leva torta na cara em evento na australia autor do ataque foi detido motivos nao foram esclarecidos
180562885329138_1624002594318486,1633,internautas fazem meme com mochilas distribuidas para criancas na ba materiais foram distribuidos na sexta feira  e surpreenderam por causa do tamanho
180562885329138_1624134660971946,877,multa de transito cita conversa com garotas de programa e verdade imagem tem sido compartilhada no facebook e no whatsapp prefeitura de santo andre confirma autenticidade do documento e diz que vai apurar conduta de agente
180562885329138_1624105067641572,138,acoes para bibliotecas anunciadas por doria ja estavam em vigor em gestoes passadas dizem especialistas saraus acontecem ha pelo menos  anos cursos de atualizacao para as equipes foram implantados ha pelo menos  anos secretaria da cultura diz que medidas estao previstas no plano municipal do livro
180562885329138_1622871114431634,2306,sargento da pm e preso por hastear bandeira do flamengo em batalhao no rio pm hasteou a bandeira rubronegra no lugar da bandeira do estado do rio de janeiro a bandeira ficou na entrada da unidade na rua siqueira campos
180562885329138_1621631921222220,335,o nazismo era um movimento de esquerda ou de direita polarizacao da discussao politica cria confusao sobre origens de movimentos nacionalistas e fascistas na europa
180562885329138_1621019301283482,2936,tecnico em cirurgia foi registrado pelos pais com o nome darth vader mae estava sob efeito de anestesia no parto e concordou com a escolha do marido fa de star wars
180562885329138_1620986414620104,1078,helicoptero que levava senador wilder morais faz pouso forcado em goiania piloto sofreu ferimentos leves mas passageiros sairam ilesos deputado estadual lincoln tejota  tambem viajava na aeronave
180562885329138_1619710928080986,2176,mulher tenta entrar nos eua com heroina disfarcada como nadegas ela levava  kg da droga sob as calcas
180562885329138_1619712994747446,21636,bebe britanico trancase acidentalmente em carro e ri de bombeiros que o salvaram menino de  meses nao entrou em panico ao enfrentar situacao de emergencia
180562885329138_1619251831460229,460,coreia do norte acusa cia de complo para assassinar kim jongun ministerio da seguranca denunciou o que seria um vicioso complo com substancias bioquimicas para matar dirigente em cerimonias publicas
180562885329138_1616874521697960,4957,homem e preso apos roubar loterica usando bilhete em guaranta criminoso simulou que estava com uma arma de fogo ele levou r  e foi preso em pirajui camera registrou assalto video
180562885329138_1617274134991332,485,foto de jovem britanica com braco gigante gera espanto na internet imagem com ilusao de optica foi postada pela irma da jovem
180562885329138_1617106585008087,11750,mulher processa cartomante que prometeu trazer marido de volta e tem pedido negado pela justica marido saiu de casa em  e ate o ajuizamento da acao em  ele nao havia retornado aposentada alega que ficou endividada porque fez emprestimo para pagar servicos
180562885329138_1614443575274388,974,papelote de cocaina cai de bone de americano durante audiencia por multa de transito policial encontrou saquinho com substancia no chao camera de seguranca mostra lemar reed perdendo papelote no tribunal
180562885329138_1611212325597513,934,premio sexy hot  oscar porno anuncia indicados veja lista publico escolhera ganhadores de  das  categorias votacao abre em  de maio com apresentacao de leo jaime cerimonia sera em  de junho com transmissao ao vivo no youtube
180562885329138_1610674645651281,1423,achei que seria mais facil diz trump sobre ser presidente republicano completa  dias de governo no sabado  e se sente como num casulo
180562885329138_1609313722454040,323,the simpsons faz balanco ironico dos primeiros  dias de trump de uma chance para ele ele tem so  anos diz homer em trecho da a temporada da serie de animacao
180562885329138_1608022362583176,994,homem invade loja de eletrodomesticos na pb e furta celulares falsos em balcao aparelhos sao de plastico e servem apenas para exposicao no balcao da loja
180562885329138_1608126122572800,324,bebado e preso apos atacar robo de  kg criado para evitar crimes com  m de altura k possui sensores que permitem sentir cheiro e cameras que o fazem filmar em
180562885329138_1608472795871466,181,whatsapp ira sair do ar por  dias por causa de jogo nao e verdade texto diz que aplicativo sera suspenso no dia  assessoria do whatsapp afirma que ele e falso e reforca que nao envia mensagens diretamente a usuarios
180562885329138_1600863736632372,225,cidade tem eleicao para prefeito decidida no cara ou coroa nos eua lei de illinois preve que empates sejam decididos na moeda
180562885329138_1599225353462877,250,jovem posta selfie com vestido sexy mas bagunca de quarto rouba a cena cortina de roupas virou motivo de piada entre os internautas
180562885329138_1598358523549560,2094,casal fazendo sexo barulhento interrompe jogo profissional de tenis nos eua barulho desconcentrou sacador depois jogadores e publico riram da situacao
180562885329138_1597729816945764,257,tiririca escreveu carta de repudio a politicos na lista da odebrecht pedindo limpeza geral em  nao e verdade carta tem viralizado nas redes sociais assessoria do deputado nega que ele seja o autor da publicacao
180562885329138_1596890083696404,624,foto mostra que frota americana que estaria a caminho da coreia viajou no sentido oposto uss carl vinson foi fotografado a caminho de exercicios militares no oceano indico a mais de  km da regiao portaavioes e navios que o acompanham devem chegar a peninsula coreana apenas no final de abril
180562885329138_1595572193828193,815,volkswagen up  parte de r  mas pode chegar a r  mil modelo foi reestilizado versao cross com visual aventureiro era a unica que faltava ser mostrada com modificacoes precos indicam que gol ficara abaixo
180562885329138_1595439737174772,5510,moro exige presenca de lula em todas as audiencias para ouvir  testemunhas de defesa pedido da defesa do expresidente foi feito em acao da lava jato que apura compra de terreno pela odebrecht para construcao de nova sede do instituto lula
180562885329138_1593885317330214,3057,delacoes da odebrecht maria do rosario pediu dinheiro e sabia que era de caixa dois diz delator stf autorizou abertura de inquerito contra a deputada com base em delacoes do exdiretor alexandrino alencar contato teria ocorrido em  em porto alegre
180562885329138_1592802400771839,5378,coreia do norte tenta fazer novo teste de missil mas fracassa dizem coreia do sul e eua tentativa ocorre um dia apos desfile militar em pyongyang em que misseis foram exibidos missil nao identificado explodiu quase imediatamente dizem eua
180562885329138_1591042217614524,29,samy dana responde vou sacar r  de contas inativas do fgts onde devo investir quero retirar o valor das minhas contas inativas de fgts de r  e reinvestir e melhor investir tudo no tesouro selic ou devo investir em doi
180562885329138_1588580714527341,3039,velozes e furiosos  veja  absurdos do filme mais sem nocao da saga g ja viu filme com vin diesel e charlize theron deve agradar fas ao apostar tudo nas cenas explosivas surreais assista ao trailer e veja gifs e analise em video
180562885329138_1584941224891290,3004,marcelo odebrecht confirma em depoimento a moro que lula e amigo empresario prestou depoimento nesta segunda feira em processo envolvendo o exministro antonio palocci instituto lula diz que expresidente nao tem conhecimento com qualquer planilha
180562885329138_1584425641609515,4765,chuva de estrume atinge pai e filha em conversivel estacionado na alemanha carro sofreu perda total mas eles nao se machucaram
180562885329138_1583203598398386,455,doria atribui aumento de rejeicao em pesquisa a simpatizantes do pt prefeito comentou resultado do datafolha durante lancamento de jardim vertical na avenida  de maio apos apagar grafite historico do muralista eduardo kobra atual gestao instalou plantas no local
180562885329138_1582994361752643,463,ancora de telejornal leva susto na australia ao perceber que estava no ar ela estava distraida e nao percebeu que estava ao vivo
180562885329138_1582580708460675,209,mensagem no whatsapp com  truques para economizar ao abastecer o carro nao e verdade texto fala de cuidados que os motoristas devem ter no posto de combustivel engenheiros dizem que recomendacoes nao tem nenhum fundamento
180562885329138_1580610971990982,607,governo do es demite assessoras apos criticas a mensagem do dia do jornalista postagem que foi apagada mostrava um macaco perturbado na frente de um notebook com a mensagem hoje e o dia do batedor de release parabens amigos jornalistas
180562885329138_1578917958826950,399,apos abordagem policial suspeito foge pelado na zona sul de teresina policial segurou no calcao do homem mas a roupa rasgou e o suspeito fugiu sem roupa correndo pela rua delegado diz que procedimento dos policias foi correto
180562885329138_1578900472162032,819,candidato conservador fillon e atingido por pacote de farinha na franca fillon cumprimentava apoiadores quando foi atingido agressor usava camiseta de apoio a candidato
180562885329138_1578741678844578,3253,marca de cerveja faz propaganda com referencia a prisao domiciliar de adriana ancelmo anuncio foi veiculado apos o lancamento de um dos rotulos da marca
180562885329138_1578085455576867,399,foto de clinica que usa wolverine como garotopropaganda de circuncisao viraliza clinica nas filipinas usa foto do ator hugh jackman caracterizado como o personagem para oferecer o procedimento medico
180562885329138_1575738009144945,3771,apos video viral instalador deve suspender teste em rede de protecao sob pena de multa de r  mil ministerio publico do trabalho divulgou a informacao nesta terca feira  video que viralizou na web ja teve mais de oito mil visualizacoes
180562885329138_1574123559306390,558,cubano usa camisinhas para fechar galoes de vinho e realizar processo de vinificacao familia de orestes estevez que mora em havana em cuba usa uma receita que leva uvas gengibre e hibisco na fabricacao do vinho
