id,count,value
180562885329138_1638308756221203,344,colisao entre aviao e caminhao deixa  feridos em aeroporto de los angeles feridos sao  homens e  mulheres que swtavam em veiculo de abastecimento nao ha feridos no aviao
180562885329138_1637374962981249,91,policia apreende  t de maconha em carga de salgadinhos em ms lacres dos alimentos haviam sido rompidos para acomodar a droga segundo a policia motorista conseguiu fugir enquanto falava ao celular
180562885329138_1636069243111821,3403,aedes consegue transmitir zika dengue e chikungunya na mesma picada diz estudo pesquisadores da universidade estadual do colorado infectaram mosquitos em laboratorio resultados foram publicados na revista nature communications
180562885329138_1636452499740162,40,virus da zika pode ser usado no tratamento de tumor cerebral afirmam pesquisadores cientistas vao testar o efeito do virus para combater o glioblastoma forma mais comum e agressiva de tumor no cerebro
180562885329138_1636164276435651,35,pf prende dois suspeitos e apreende arma escondida em falso livro em acao em porto alegre mandados foram cumpridos dentro de operacao contra trafico internacional de drogas que tambem ocorreu em cidades do parana sao paulo e para nesta sextafeira
180562885329138_1636348139750598,1516,arvore cai e esmaga carros na regiao central de sao paulo ao menos tres carros foram atingidos sendo que dois estavam aparentemente estacionadosqueda ocorreu proximo a avenida paulista e ao masp
180562885329138_1636053256446753,42,guerra de lances leva pintura de basquiat ao recorde de us   milhoes em leilao a peca foi comprada pelo colecionador japones e empresario de comercio eletronico yusaku maezawa apos uma guerra de lances que durou  minutos
180562885329138_1634755063243239,12,ciberataques como nao virar uma vitima siga  mandamentos atualizar software ter copias de arquivos e nao abrir anexos em vao confira estas e outras dicas para nao ser vitima de ataques como o virus wannacry que atingiu  mil computadores
180562885329138_1634854449899967,194,equipamento misterioso cai do ceu em zona rural de cidade da bahia aparelho foi achado em abare no norte do estado e nao atingiu nenhum morador moradores falam em balao policia investiga
180562885329138_1635414589843953,770,empresario do goleiro bruno e suspeito de matar enteado em matozinhos na regiao metropolitana de bh segundo pm jovem de  anos estaria agredindo a esposa quando ele atirou lucio mauro de melo rodrigues de  anos esta foragido
180562885329138_1634988376553241,2944,mulher grava proprio parto enquanto da a luz sozinha dentro de casa no df peguei o celular para usar como espelho e aproveitei pra gravar disse mae ela e a filha estao internadas em maternidade para exames bebe nasceu de  kg
180562885329138_1634971879888224,125,sem parametros casas de cambio vendem dolar turismo por ate r algumas corretoras chegaram a interromper as vendas por causa da alta volatilidade no inicio do dia
