id,count,value
180562885329138_1638860739499338,36,poeta de brasilia cria aplicativo gratuito que mapeia poesia no brasil usuarios podem contribuir com a localizacao de novos pontos no mapa aplicativo ja esta disponivel para download sem custo ou assinatura
180562885329138_1638545726197506,360,tucanos viram atracao em quintal de professor de tapiratiba sp aves podem ser vistas com frequencia em castanheira e palmeiras que jose alencar mantem no quintal
180562885329138_1638473512871394,374,a pedido de noivos padres fazem selfies apos celebracoes de casamentos no centrooeste de minas autorretratos fazem o momento se tornar mais descontraido
180562885329138_1638465002872245,128,alimentacao especial para caes e gatos ganha mercado em teresina os animais ficam mais felizes e espertos diz veterinaria sobre comidinhas especiais para os bichos de estimacao
180562885329138_1638560722862673,826,policia faz operacao contra trafico de drogas e doria diz que cracolandia acabou acao teve  presos usuarios tambem foram atingidos pela operacao e na dispersao imoveis da regiao foram invadidos e carros tiveram vidros quebrados
180562885329138_1638517662866979,100,em discurso trump apela a lideres muculmanos por luta contra o radicalismo islamico na arabia saudita presidente se afastou da retorica dura adotada em campanha nao e uma batalha entre diferentes religioes mas entre o bem e o mal afirmou
180562885329138_1638385012880244,126,a cidade argentina que esta oferecendo terras em troca de moradores projeto piloto em colonia belgrano subsidia terrenos e casas para novos habitantes na tentativa de reativar a economia local
180562885329138_1638393952879350,3,negocio compartilhado economiza investimento e dispensa marketing ao aproveitar estrutura e funcionarios esse tipo de negocio pode ser aplicado a varias atividades como aliar escola tradicional a escola de ingles
180562885329138_1638332029552209,15495,gato estudante acumula titulos de melhor aluno em faculdade de sp branco frequenta aulas da fatec rubens lara em santos ha  anos
180562885329138_1638292532889492,186,policia faz operacao contra trafico de drogas e doria diz que cracolandia acabou acao teve  presos usuarios tambem foram atingidos pela operacao e na dispersao imoveis da regiao foram invadidos e carros tiveram vidros quebrados
180562885329138_1638290396223039,4051,oab decide apresentar a camara  pedido de impeachment de michel temer conselho federal da entidade se reuniu neste sabado em brasilia das  representacoes estaduais e do distrito federal  votaram pela abertura de processo de impeachment do presidente
180562885329138_1637857149599697,418,janot defende continuidade de inquerito para investigar temer supremo autorizou inquerito para apurar os crimes de corrupcao passiva obstrucao a justica e organizacao criminosa presidente pediu neste sabado que investigacao seja suspensa
180562885329138_1637837596268319,88,cachorro da raca dachshund pratica voo livre com parapente em alagoas charlie costuma acompanhar com frequencia o dono nas aventuras aereas animal passou por treinamentos antes de voar
180562885329138_1637587309626681,908,psb anuncia oposicao ao governo michel temer e passa a defender renuncia anuncio foi feito neste sabado pelo presidente e pelo secretariogeral do partido segundo eles psb fechou questao para apoiar a pec que preve eleicoes diretas
180562885329138_1637279056324173,218,casal abandona vida confortavel e realiza sonho ao iniciar volta ao mundo em um veleiro eles partem do guaruja  neste fim de semana o objetivo e nao ter pressa e ser mais feliz
180562885329138_1637437139641698,4434,irma de kate pippa middleton se casa na inglaterra e principes george e charlotte roubam a cena casamento aconteceu neste sabado convidados foram proibidos de postar em redes sociais
180562885329138_1637288072989938,825,estudante agredido em protesto tem alta apos segunda cirurgia em goiania mateus ferreira teve que fazer um preenchimento para corrigir uma perda ossea na testa ele foi atingido por um cassetete de um policial militar
180562885329138_1637280216324057,29,delacoes da jbs podem gerar novos inqueritos em  estados e no df ja viraram inqueritos no stf casos do presidente michel temer do senador afastado aecio neves do deputado afastado rodrigo rocha loures do procurador angelo goulart e do advogado willer tomaz
180562885329138_1637208236331255,1027,enfermeira faz exposicao com books fotograficos de gravidas carentes gislaine gonzaga comecou o projeto para aumentar a autoestima de gestantes de baixa renda fotos estarao expostas neste sabado  das h as h em goiania
180562885329138_1637203102998435,19,estudantes do rio participam de competicao de drones em mg os estudantes do rio vao enfrentar equipes com alunos de sao paulo e minas gerais rj sera representado por tres equipes do cefetrj e do colegio pedro ii
180562885329138_1636051236446955,131,astronomos da usp descobrem por que regiao do sol e habitavel em nossa galaxia segundo estudo o sol fica exatamente entre dois bracos espirais e gira na mesma velocidade que eles por isso nao corre o risco de cruzalos o que seria catastrofico
