id,count,value
180562885329138_1638860739499338,36,poeta de brasilia cria aplicativo gratuito que mapeia poesia no brasil usuarios podem contribuir com a localizacao de novos pontos no mapa aplicativo ja esta disponivel para download sem custo ou assinatura
180562885329138_1638545726197506,360,tucanos viram atracao em quintal de professor de tapiratiba sp aves podem ser vistas com frequencia em castanheira e palmeiras que jose alencar mantem no quintal
180562885329138_1638465002872245,128,alimentacao especial para caes e gatos ganha mercado em teresina os animais ficam mais felizes e espertos diz veterinaria sobre comidinhas especiais para os bichos de estimacao
180562885329138_1637279056324173,218,casal abandona vida confortavel e realiza sonho ao iniciar volta ao mundo em um veleiro eles partem do guaruja  neste fim de semana o objetivo e nao ter pressa e ser mais feliz
180562885329138_1637437139641698,4434,irma de kate pippa middleton se casa na inglaterra e principes george e charlotte roubam a cena casamento aconteceu neste sabado convidados foram proibidos de postar em redes sociais
180562885329138_1637208236331255,1027,enfermeira faz exposicao com books fotograficos de gravidas carentes gislaine gonzaga comecou o projeto para aumentar a autoestima de gestantes de baixa renda fotos estarao expostas neste sabado  das h as h em goiania
180562885329138_1635568789828533,733,garota sonha em ser bombeira e faz fotos de  anos em quartel de ms evelyn alves escolheu quartel de campo grande depois de participar do projeto bombeiros do amanha voltado para adolescentes
180562885329138_1633762536675825,200,indiana centenaria faz sucesso com canal de culinaria no youtube mastanamma faz do campo sua cozinha e utiliza lenha para preparar a comida seu canal de videos criado pelo bisneto ja tem mais de  mil inscritos
180562885329138_1633856066666472,764,facebook comeca a esconder links que possam ser cacaclique ideia e enfraquecer postagens que omitem eou exageram detalhes de uma historia diz greg marra do facebook em entrevista exclusiva ao g brasil esta entre novos paises que testam recurso
180562885329138_1632304250154987,1159,marido surpreende noiva gravida ao revelar sexo do bebe durante o casamento video do casal na igreja foi assistido  milhoes de vezes no facebook lucas castejon combinou segredo com a medica da mulher em franca
180562885329138_1632819303436815,163,dispositivo ajuda pacientes com parkinson a interromper tremor das maos prototipo fez designer voltar a desenhar e escrever apos anos sem firmeza entre os dedos tremor do aparelho distrai cerebro segundo criadores
180562885329138_1632555283463217,909,menino de  anos e internado no df para retirar bolsa de colostomia pedro esperava cirurgia desde  ele foi internado por volta das h e passa por bateria de exames procedimento ocorre gracas a doacao de grampeador linear por casal carioca
180562885329138_1632230776829001,332,rj proibe radar de velocidade em area de risco lei foi publicada nesta tercafeira  apos sancao de pezao e se refere a comunidades carentes conhecidas por alto indice de violencia retirada de equipamentos nao podera custar nada aos cofres publicos
180562885329138_1632338803484865,30667,gemeas completam  anos e fazem ensaio fotografico no es veja as fotos maria e paulina pignaton fazem  anos no dia  de maio a convite de uma fotografa elas participaram de uma sessao de fotos nesta segundafeira
180562885329138_1632203913498354,367,anvisa inclui cannabis sativa em lista de plantas medicinais medida nao libera uso da cannabis como planta medicinal em qualquer circunstancia apenas a formaliza como um componente possivel em futuros pedidos de registro de medicamentos e outras regulamentacoes
180562885329138_1631015680283844,35,cientistas criam exoesqueleto robotico que evita quedas de idosos prototipo de equipamento e capaz de detectar quando uma pessoa perde o equilibrio e corrigir seu movimento
180562885329138_1631695423549203,23,no festival pint of science cientistas falam de suas pesquisas em bares de  cidades brasileiras evento que busca popularizar a ciencia ocorre em  paises de  a  fisica quantica evolucao humana novos medicamentos e nanotecnologia estao entre os temas
180562885329138_1631101793608566,244,eles me ajudaram a voltar diz menino considerado um milagre dos pastorinhos de fatima lucas atualmente com  anos sofreu traumatismo craniano ao cair de janela e se recuperou sem sequelas assista ao depoimento
180562885329138_1630890800296332,2262,so a medicina nao teria dado conta de resolver diz medico que atendeu menino curado por milagre crianca sofreu traumatismo craniano ao cair de janela segundo pais apos oracoes aos pastorinhos de fatima filho se recuperou sem sequelas
180562885329138_1630040117048067,133,medico e gestante amenizam tensao do momento preparto com dueto musical em hospital de olinda pediatra leva ukulele para as unidades de saude em que trabalha para treinar licoes que aprende em aula de musica e humanizar o atendimento aos pacientes com a experiencia mae revela maior tranquilidade ao dar a luz
