id,count,value
180562885329138_1638799416172137,114,governo venezuelano diz que opositores queimaram homem durante protesto vitima esta internada com queimaduras em  do corpo segundo ministerio do interior e justica do pais promotoria anunciou que abriu investigacao sobre o ocorrido
180562885329138_1638504432868302,648,transexual internada a forca deixa clinica e e levada a abrigo por ter medo da mae familia de bruna andrade de cesar alegou problemas psiquiatricos para pedir internacao policia aguarda laudo medico e nao descarta carcere privado
180562885329138_1638530882865657,141,mancha branca ja dizimou viveiros de camarao do ceara e do rn doenca devastadora na criacao de camaroes chegou ao nordeste ha alguns anos sindrome nao tem cura mas e possivel conviver com ela
180562885329138_1638408352877910,931,voluntarios de criciuma viajam a jordania para atender refugiados da siria cabeleireiro ensinou profissao para  pessoas medica e dentista atenderam juntos mais de  refugiados em  dias
180562885329138_1637493576302721,1064,chimpanze argentina libertada por habeas corpus completa um mes em santuario de primatas em sorocaba cecilia que vivia em mas condicoes em zoologico de mendoza mudou de comportamento esta se adaptando bem e ate tem pretendente
180562885329138_1637967819588630,298,rich buckler cartunista de quarteto fantastico morre aos  anos desenhista criou o personagem deathlok e trabalhou para marvel e dc comics
180562885329138_1637943762924369,6713,jovem saca r  mil de fgts e perde tudo ao cair no golpe da falsa recompensa em ro caso aconteceu quando vitima saia de agencia bancaria de cacoal apos deixar embrulho dom dinheiro falso cair perto da vitima suspeito fez promessa de recompensa no valor de r
180562885329138_1637786729606739,6386,corpo encontrado no rio tiete e o de jovem estrangulada pelo cunhado em itu exames do iml e o reconhecimento de parentes confirmaram a identidade do corpo como sendo da jovem isabela de  anos que estava desaparecida o enterro ja foi realizado na tarde deste sabado
180562885329138_1637713712947374,360,adolescente que desapareceu em botafogo e encontrada a informacao foi confirmada pela titular da ddpa delegada ellen souto isadora estava comendo pizza com os pais na cobal do humaita quando desapareceu
180562885329138_1637387889646623,29,o segredo para reduzirmos a ansiedade antes de fazermos algo importante realizar pequenos rituais antes de vivenciarmos situacoes estressantes nos torna menos ansiosos e melhora nosso desempenho dizem pesquisadores de harvard
180562885329138_1637305882988157,1006,coala pode desaparecer de algumas paisagens da australia diz estudo causa e o desmatamento provocado pela urbanizacao e o desenvolvimento agricola e da mineracao de acordo com a ong wwf
180562885329138_1637346026317476,359,policia civil apura possivel carcere privado de transexual no rj mae da vitima solicitou internacao e alegou problemas psiquiatricos namorada de transexual registrou o caso na delegacia
180562885329138_1637370136315065,341,cantor e apresentador kid vinil e velado na assembleia legislativa de sp vocalista da banda magazine de sucessos como sou boy e a gata comeu morreu aos  anos ele estava internado mais de um mes apos sofrer parada cardiaca
180562885329138_1637262242992521,1598,uso cronico de remedio ingerido por chris cornell pode facilitar impulsos suicidas explica psiquiatra remedio pode mascarar depressao no caso do musico e necessario investigar se ocorreu a ingestao de outras substancias de acordo com especialista
180562885329138_1636782536373825,686,as mortes precoces do grunge chris cornell aumenta lista de tragedias do estilo tres dos quatro vocalistas das maiores bandas do movimento de seattle ja morreram sem chris cornell kurt cobain nem layne staley fas rezam fica eddie vedder veja lista
180562885329138_1636125536439525,201,italia e libia resgatam  imigrantes no mediterraneo eles estavam em botes inflaveis
180562885329138_1636694639715948,375,kid vinil foi de boy a vj em quase  anos de carreira veja trajetoria sou boy tic tic nervoso foram hits com o magazine ele se destacou com trabalhos como cantor radialista jornalista vj e dj
180562885329138_1636850459700366,9,sexta feira  de maio de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1636065819778830,432,macaco obeso resgatado e submetido a dieta na tailandia alimentado por junk food de turistas tio gordo esta com o triplo do peso adequado
180562885329138_1636490199736392,3295,crianca de  anos se perde em mt some por  horas e e encontrada em milharal menino tomava mamadeira enquanto a mae se afastou por alguns minutos para atender o telefone vizinho ouviu choro e encontrou menino em plantacao a  metros da casa da familia
180562885329138_1636667476385331,7077,kid vinil morre em sao paulo aos  anos vocalista da banda magazine de sucessos como sou boy e a gata comeu tambem foi radialista e apresentador ele estava internado mais de um mes apos sofrer parada cardiaca
180562885329138_1636577549727657,75,imagens de camera de seguranca mostram atropelamento na times square detido homem foi acusado nesta sexta por  homicidio e  tentativas de homicidio
180562885329138_1634705516581527,817,apos sequestro menino de  anos diz que esta bem minha mae me achou dona de casa kate silva viu bandidos levarem seu carro com o filho enzo dentro do veiculo em entrevista ao rjtv mae confessou que nao sente raiva dos bandidos
180562885329138_1634770156575063,28,morre o expresidente da fox news roger ailes ailes renunciou ao cargo no ano passado apos ser acusado de assedio sexual pela exancora do canal gretchen carlson
180562885329138_1634834349901977,770,morte de chris cornell causa espanto e deixa fas do grunge ainda mais orfaos ainda em intensa atividade no universo pop cantor americano morreu a dois meses de completar  anos
180562885329138_1635497666502312,205,protesto que pede saida de temer e diretas ja acaba em confronto entre mascarados e pm no rio concentracao comecou na candelaria com caminhada ate a cinelandia durante discursos na praca houve correria por causa das bombas pm informou que  mascarados iniciaram o tumulto
180562885329138_1635275676524511,52,dolar tem a maior alta em  anos em dia de nervosismo pelo cenario politico a moeda norteamericana subiu  a r  na venda este e o maior valor de fechamento desde dezembro de
180562885329138_1635176393201106,1152,morre no rio dono da fabrica do biscoito globo milton ponce fernandes lutava contra um cancer enterro foi marcado para a tarde desta quinta feira  no estado de minas gerais
180562885329138_1634979623220783,12092,chris cornell postou declaracao a mulher tres dias antes de morrer voce e um anjo segundo tmz vicky karayiannis disse que marido nao apresentava sinais de depressao vocalista do soundgarden e do audioslave morreu nesta quarta  e medicos confirmam suicidio como causa
180562885329138_1634872676564811,385,dolar dispara e chega a r  apos denuncias envolvendo temer bc interfere na vespera a moeda norteamericana fechou em alta  cotada a r  na venda
180562885329138_1634747686577310,8272,caso araceli completa  anos e misterio sobre a morte permanece no es processo depois do julgamento e absolvicao dos acusados foi arquivado pela justica fato instituiu o dia nacional de combate ao abuso sexual contra criancas menina tinha  anos quando foi raptada drogada estuprada e morta
180562885329138_1634752929910119,223,mercados abrem em panico as operacoes feitas no mercado futuro da bolsa operavam em queda de  por volta das h da manha desta quinta feira  o dolar futuro tambem rea
180562885329138_1634710746581004,200,morador de rua e morto por guarda municipal de campinas durante abordagem de acordo com a corporacao vitima teria tentado agredir o agente de seguranca com uma faca
180562885329138_1634529459932466,17844,chris cornell vocalista do soundgarden e do audioslave morre aos  anos medicos confirmaram causa da morte como suicidio por enforcamento em detroit nos eua onde ele havia feito show
180562885329138_1633833046668774,141,so em  dias de  nenhuma escola municipal do rio fechou por tiroteios nesta quarta feira quase cinco mil estao sem aulas na cidade de deus devido a operacao do bope secretaria de educacao diz que mais de  mil alunos ja foram afetados este ano
180562885329138_1633687480016664,62,mercado editorial no brasil tem queda real de  em  dizem editoras comparacao e com  e recuo acumulado em dois anos e de  apesar da queda venda de editoras religiosas ao governo aumentou mais de dez vezes em relacao ao ano passado
180562885329138_1633415350043877,4732,criminosos roubam carro com crianca dentro na zona oeste do rio mae nao conseguiu soltar filho de  anos da cadeirinha houve perseguicao durante  quilometros e crianca foi resgatada quase duas horas depois
180562885329138_1632531963465549,113,aumento nos roubos nas estradas do rj obriga caminhoneiros a usarem guias os chapas sao guias que levam os caminhoneiros ate o ponto de entrega das cargas de maneira segura o trabalho desses profissionais aumentou
180562885329138_1632675016784577,2450,remota e desabitada ilha no pacifico tem a maior concentracao de lixo plastico do mundo proxima a poderosas correntes maritimas a britanica henderson localizada a  mil km da costa do chile estaria poluida por mais de  milhoes de detritos segundo cientistas
180562885329138_1632538356798243,339,fiquei seis anos sem ver meu pai e o reencontrei na cracolandia em meio a mudancas na politica anticrack de sao paulo produtora cultural descreve reaproximacao com pai ainda em luta contra vicio
