id,count,value
180562885329138_1638439596208119,120,coreia do norte realiza novo teste com missil projetil foi lancado a partir do sul do pais diz exercito sulcoreano missil era de alcance menor do que os utilizados em  ultimos testes segundo os eua
180562885329138_1637244709660941,12480,homem e preso apos estuprar enteada menor de idade por seis anos em depoimento mae da vitima admitiu que sabia o que estava acontecendo mas tinha medo de denunciar a policia
180562885329138_1636117319773680,271,cientistas de programa balistico sao recebidos como herois em pyongyang ato publico acontece cinco dias apos o teste de um missil balistico que segundo o governo poderia carregar uma ogiva nuclear
180562885329138_1636495716402507,668,jbs admite que comprou dolar nos ultimos dias e disse atuacao no cambio visava a protecao financeira com negocios no exterior e divida em dolar empresa diz que tem atuacao diaria para se proteger de variacoes cambiais companhia teria lucrado com alta do dolar nesta quinta feira
180562885329138_1635991969786215,11,prazo para inscricao no enem termina nesta sexta feira inep afirma que nao vai prorrogar prazo
180562885329138_1635983833120362,722,um ano apos estupro coletivo na zona oeste do rio dois envolvidos seguem foragidos e delegada sofre ameacas a adolescente vitima do grupo deixou o programa de protecao menos de um ano depois do crime dcav procura suspeito por outro caso semelhante na baixada
180562885329138_1635935769791835,273,filmado recebendo mala de dinheiro deputado rocha loures chega ao brasil parlamentar paranaense indicado por temer para resolver questao entre petrobras e jbs segundo reportagem de o globo desembarcou em guarulhos na manha desta sexta
180562885329138_1635919749793437,75,suecia arquiva investigacao por estupro contra fundador do wikileaks apesar da decisao assange ainda pode ser preso se deixar a embaixada do equador em londres onde esta refugiado desde  no twitter assange afirmou que nao perdoa os que estao por tras de sua acusacao
180562885329138_1634964723222273,1045,justica decreta prisao de homem que aparece em video do whatsapp esganando vitima ate a morte g teve acesso as filmagens que mostram lucas santos apertando pescoco de rapaz e confessando crime em itapevi grande sp assassino disse que quis entregar alma do morto ao demonio
180562885329138_1634888139896598,353,nova regra de bagagem da latam comeca a valer nesta quinta feira companhia muda a cobranca por excesso de bagagem e passa a cobrar pelo despacho da segunda mala cobranca do despacho da primeira mala sera implementada em ate  dias
180562885329138_1635345959850816,2129,motorista atropela manifestantes que pediam renuncia de michel temer em goiania veja video confusao ocorreu na avenida anhanguera e pelo menos duas pessoas ficaram feridas carro foi cercado e depredado organizacao diz que cerca de  pessoas participaram do ato
180562885329138_1634067443312001,268,menores sao encaminhados para internacao apos se entregarem por suspeita de estupro coletivo dois suspeitos do crime foram enviados para um centro de internacao para menores infratores do departamento geral de acoes socioeducativas
180562885329138_1634089583309787,97,pm diz que gastou r  mil no esquema de seguranca para o interrogatorio de lula em curitiba apos pedido de deputado estadual secretaria de seguranca repassou dados sobre os gastos  policiais foram deslocados para a operacao
180562885329138_1634076066644472,484,policia prende jovem suspeito da morte de idosa arrastada de carro em serrana sp rapaz teve a prisao temporaria decretada e foi achado em onibus que seguia para sao sebastiao do paraiso mg corpo da vitima foi sepultado nesta quarta feira
180562885329138_1634037299981682,37,carros mais vendidos do brasil tem menos itens de seguranca do que nos eua e europa legislacao brasileira exige menos equipamentos do que em outros paises argentina por exemplo e mais rigida veja o que os modelos oferecem e compare
180562885329138_1633900426662036,299,ons descarta risco de desabastecimento mas afirma que conta de luz ficara mais cara diretorgeral da aneel adiantou que consumidor pagara tarifa extra ate novembro orgao estuda realizar campanha de consumo consciente de energia
180562885329138_1633811973337548,35466,mulher na pb denuncia agressao de excompanheiro e delegado pergunta se nao foi o guardaroupa vitima solicitou medida protetiva contra o excompanheiro mas o delegado nao concedeu por acreditar que mulher nao corria risco
180562885329138_1633800250005387,452,whatsapp apresenta instabilidade relatam usuarios reclamacoes comecaram por volta das h segundo site especializado empresa diz que problema durou  minutos e ja foi resolvido
180562885329138_1633324143386331,20,os oito processos contra cabral veja do que e acusado o exgovernador do rj sergio cabral e reu em processos que apuram pratica de corrupcao lavagem de dinheiro e formacao de quadrilha advogados dizem que irao falar na justica
180562885329138_1632716370113775,71,virada cultural de sp  veja a programacao evento cultural sera realizado neste sabado  em varios pontos da cidade
180562885329138_1632908856761193,1164,suspeito de atirar e atropelar a exnamorada se apresenta a policia e e preso em franca crime aconteceu no dia  de abril mas prisao so foi efetuada nesta terca feira  vitima foi baleada seis vezes e atropelada em seguida
180562885329138_1632649026787176,187,exsuperintendente presa em operacao e suspeita de usar propina para pagar faculdades de medicina diz pf dinheiro era usado para custear despesas pessoais aponta investigacao o marido e dois filhos de adriana carla foram presos
180562885329138_1632152386836840,111,mpf denuncia exgovernador sergio cabral e mais seis por corrupcao na saude do rj operacao fatura exposta identificou propinas de mais de r  milhoes entre  e
180562885329138_1632230433495702,28,trump defende compartilhamento de informacoes com os russos presidente dos eua tuitou que tem o direito de compartilhar informacoes com os russos relativas ao terrorismo e a seguranca aerea
180562885329138_1632165243502221,532,policia prende suspeito de estuprar alunas perto do campus da universidade rural alexandre de oliveira santana de  anos foi preso enquanto caminhava pelo centro da cidade de seropedica ele foi identificado por tres vitimas de estupro na regiao da ufrrj
180562885329138_1631925560192856,1,terca feira  de maio bom dia aqui estao as principais noticias para voce comecar o dia beminformado
180562885329138_1631314613587284,257,ministro de energia espera que samarco volte a operar no o semestre empresa esta paralisada desde  quando barragem rompeu e provocou desastre ambiental em mariana  fernando coelho filho disse que trabalha pessoalmente para liberar operacao
180562885329138_1631259553592790,1131,homem e multado em r  mil por capturar  tartarugas ameacadas de extincao operacao cantao tambem apreendeu redes e armas usadas para pesca ilegal fiscalizacao foi realizada no parque estadual do cantao em caseara
180562885329138_1631560923562653,709,grupo investigado por fraude em licitacoes forneceu carne vencida para merenda escolar na ba tres pessoas estao presas em ilheus cidade onde ocorreram as irregularidades fraudes envolveram contratos de r  milhoes
180562885329138_1631542660231146,2271,policia civil do df exonera delegado que culpou mae por estupro de crianca criancas pagam por rodizio de padrastos disse diretor de comunicacao em grupo de mensagens da policia civil segundo o governo comentarios nao representam a opiniao da corporacao
