id,count,value
180562885329138_1637244709660941,12480,homem e preso apos estuprar enteada menor de idade por seis anos em depoimento mae da vitima admitiu que sabia o que estava acontecendo mas tinha medo de denunciar a policia
180562885329138_1634888139896598,353,nova regra de bagagem da latam comeca a valer nesta quintafeira companhia muda a cobranca por excesso de bagagem e passa a cobrar pelo despacho da segunda mala cobranca do despacho da primeira mala sera implementada em ate  dias
180562885329138_1634067443312001,268,menores sao encaminhados para internacao apos se entregarem por suspeita de estupro coletivo dois suspeitos do crime foram enviados para um centro de internacao para menores infratores do departamento geral de acoes socioeducativas
180562885329138_1633900426662036,299,ons descarta risco de desabastecimento mas afirma que conta de luz ficara mais cara diretorgeral da aneel adiantou que consumidor pagara tarifa extra ate novembro orgao estuda realizar campanha de consumo consciente de energia
180562885329138_1633811973337548,35466,mulher na pb denuncia agressao de excompanheiro e delegado pergunta se nao foi o guardaroupa vitima solicitou medida protetiva contra o excompanheiro mas o delegado nao concedeu por acreditar que mulher nao corria risco
180562885329138_1632908856761193,1164,suspeito de atirar e atropelar a exnamorada se apresenta a policia e e preso em franca crime aconteceu no dia  de abril mas prisao so foi efetuada nesta tercafeira  vitima foi baleada seis vezes e atropelada em seguida
180562885329138_1631314613587284,257,ministro de energia espera que samarco volte a operar no o semestre empresa esta paralisada desde  quando barragem rompeu e provocou desastre ambiental em mariana  fernando coelho filho disse que trabalha pessoalmente para liberar operacao
180562885329138_1629190630466349,1742,latam cobrara a partir de r  por mala despachada regras mudam dia  de maio empresa anunciou em marco que cobraria r  mas reduziu preco apos concorrentes informarem valores a partir de r  pela mala despachada em voo nacional
180562885329138_1629009430484469,212,lei da gorjeta entra em vigor neste sabado e divide opinioes de funcionarios famosa caixinha entrara na folha de pagamento de garcons e outros trabalhadores nada muda para o cliente e pagamento dos  continua sendo opcional
180562885329138_1628268680558544,217,video mostra suspeito debochando de vitima enquanto aplica golpe do cartao de credito imagens foram divulgadas pela policia civil do rio grande do sul e mostram parte de uma gravacao feita por um dos investigados
180562885329138_1624963250889087,771,crivella nomeou  comissionados com supersalarios veja levantamento chefe de gabinete e secretaria de fazenda estao entre os que recebem acima do teto de r  mil pratica e permitida pela lei prefeitura ressalta que cortou em r  milhoes despesas com encargos
180562885329138_1624361497615929,536,suspeito de estupro coletivo que se entregou nesta segunda e reconhecido pela vitima delegada  afirmou que a policia esta em contato com o mp e com o judiciario para definir se ele sera apreendido ja que nao houve flagrante
180562885329138_1623890190996393,258,menor suspeito de participar de estupro coletivo no rj se entrega morador de comunidade na baixada fluminense ele temeria represalia do trafico local em caso de operacao policial no local jovem se apresentou com a mae em um forum
180562885329138_1620043241381088,1383,gol comeca cobranca de bagagem despachada em  de junho o preco da primeira mala despachada em voos nacionais sera de r  para clientes que comprarem o servico pela internet ou r  para quem fizer a opcao no balcao do check in
180562885329138_1618470258205053,4729,tribunal dispensa lula de comparecer aos depoimentos de  testemunhas de defesa advogado do expresidente recorreu de decisao do juiz sergio moro que exigia a presenca dele nas respectivas audiencias dentro de investigacao da operacao lava jato
180562885329138_1618148161570596,222,entenda o calculo da aposentadoria pelo texto aprovado na comissao da camara relatorio do deputado arthur maia  foi aprovado por  votos a  veja simulacoes para cumprir os requisitos da aposentadoria pelo inss e para servidores publicos
180562885329138_1617335568318522,529,presos em conflito com grupo antiimigracao sao soltos em sp apos audiencia na justica nenhum deles foi indiciado mas poderao ser investigados caso o ministerio publico entenda que ha necessidade dois palestinos terao que cumprir medidas cautelares
180562885329138_1617297824988963,534,exministro jose dirceu deixa complexo medicopenal na regiao metropolitana de curitiba exministro teve a prisao preventiva revogada pela segunda turma do supremo tribunal federal  ele segue para brasilia em endereco mantido sob sigilo a pedido da defesa
180562885329138_1616447935073952,643,deltan dallagnol diz que decisao de soltar jose dirceu e incoerente pelas redes sociais procurador que integra a forcatarefa da operacao lava jato disse que teme pela soltura de outros presos ministro classificou postura de procuradores como brincadeira quase juvenil
180562885329138_1616331418418937,25,tercafeira  de maio de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1613752235343522,1340,ficaram ofendidos porque eram cobrados diz medica sobre quem a denunciou por mortes em uti virginia de souza foi inocentada por juiz que analisou a denuncia do ministerio publico
180562885329138_1613487902036622,1425,temer diz que pais continua a trabalhar com ou sem protestos presidente afirmou que contestacoes as reformas trabalhista e da previdencia sao tipicas da democracia ele participou em sao paulo de cerimonia de inauguracao da casa do japao
180562885329138_1613186725400073,154,apos liberacao da justica empresas aereas ainda nao tem previsao para comecar cobranca extra de bagagens pela nova regra companhias podem cobrar taxas adicionais por bagagens despachadas em voos nacionais e internacionais hoje servico esta embutido no preco da passagem
180562885329138_1613014168750662,3331,eike batista deixa bangu e vai para prisao domiciliar no rio ministro gilmar mendes do stf concedeu habeas corpus na sexta  para soltar empresario que devera cumprir  medidas cautelares em sua casa no jardim botanico veja quais
180562885329138_1612309545487791,178,justica derruba liminar que suspendia cobranca extra de bagagens em avioes pela nova regra companhias aereas podem cobrar taxas adicionais por bagagens despachadas em voos nacionais e internacionais hoje servico esta embutido no preco da passagem
180562885329138_1609326715786074,158,em  meses de cortes predios publicos no centro do df elevam gasto com agua lista de esbanjadores inclui senado camara e pgr racionamento em areas nobres comecou em fevereiro ministerio do meio ambiente stf e caesb passaram a poupar
180562885329138_1609196452465767,5446,com direito a  meses de ferias vereadores de cidade do rn trabalharao apenas  dias no ano vereadores de poco branco so tem sessao uma vez por semana e a cada dois meses de trabalho ganham um mes de descanso
180562885329138_1608547385864007,23,quartafeira  de abril de boa noite aqui estao as principais noticias para voce terminar o dia beminformado
180562885329138_1608371912548221,5350,confira o que pode mudar com a reforma trabalhista as alteracoes mexem em pontos como ferias jornada remuneracao e plano de carreira alem de implantar e regulamentar novas modalidades de trabalho
180562885329138_1606685966050149,9789,condenada pela morte de isabella nardoni anna jatoba pede para ir ao semiaberto ela cumpre pena em regime fechado em tremembe  defesa diz que ela ja cumpriu tempo minimo de prisao para ter direito ao beneficio
180562885329138_1601262046592541,534,mp contesta absolvicao da medica acusada de matar pacientes no pr a medica virginia de souza era acusada de matar sete pacientes casos aconteceram entre  e  no hospital evangelico de curitiba
180562885329138_1599947846723961,4618,juiz inocenta medica acusada de matar pacientes em uti de hospital em curitiba a medica virginia soares de souza foi acusada por ter supostamente abreviado a vida de oito pacientes no hospital evangelico
180562885329138_1599895883395824,4825,petrobras decide aumentar preco da gasolina e do diesel valor da gasolina vai subir em media  nas refinarias do diesel  a partir desta sextafeira
180562885329138_1599469800105099,51, cobertura completa das ultimas noticias de economia mercado bolsa e dolar
180562885329138_1599092143476198,557,veja simulacoes da aposentadoria com as mudancas feitas pelo relator texto do relator preve idade minima progressiva ate chegar a regra geral de   anos para mulheres e de  anos para homens
180562885329138_1598285480223531,2421,veja os principais pontos da proposta de reforma da previdencia texto do relator preve idade minima de  anos para mulheres e de  anos para homens na regra geral de aposentadoria
180562885329138_1596408553744557,2371,adolescentes denunciam que foram assediadas por professor em escola uma das adolescentes diz que docente insinuou querer favores sexuais por ter dado nota extra a ela conversas em rede social mostram homem tentando aliciar garotas
180562885329138_1596259847092761,809,relator propoe idade minima de  anos para mulher se aposentar deputado arthur maia relator da reforma da previdencia divulgou esboco do seu parecer nesta manha proposta sera apresentada formalmente na quartafeira  e podera ser alterada
180562885329138_1596213327097413,812,quem e steve stephens o autoproclamado monstro procurado nos eua por assassinato transmitido pelo facebook policia caca homem de  anos que culpa mae e exnamorada por sua raiva acumulada e problemas com jogos de azar
180562885329138_1594690527249693,2116,como vivem os delatores que entregaram esquema de corrupcao conheca rotina de paulo roberto costa pedro barusco e fernando baiano condenados na lava jato e que tem o beneficio de cumprir pena em casa
180562885329138_1588936567825089,147,cabral recebeu r  milhoes de caixa dois da odebrecht para  diz delator informacao consta na colaboracao de benedicto barbosa da silva junior sobre campanha para o governo do rj em troca empresa queria favorecimento em projetos de infraestrutura
